Name,Event Name,Date,Time,Level,Race Id,Athlete's Club,Entry Club,Place,Seat No.,Seat,Status,Adj. Time
"Scott, J.",ELI.1x,6/15/2013,8:30 AM,Heats,Heat 1,Sabrina,Sabrina,1,1,Sculler,Finished,07:31.4
"Barton, E.",ELI.1x,6/15/2013,8:30 AM,Heats,Heat 1,Exeter Univ,Exeter Univ,2,1,Sculler,Finished,07:35.7
"Couldwell, E.",ELI.1x,6/15/2013,8:30 AM,Heats,Heat 1,Loughborough Students,Loughborough Students,3,1,Sculler,Finished,07:43.6
"Read, D.",ELI.1x,6/15/2013,8:35 AM,Heats,Heat 2,Leander,Leander,1,1,Sculler,Finished,07:34.1
"English, A.",ELI.1x,6/15/2013,8:35 AM,Heats,Heat 2,Nottingham RC,Nottingham RC,2,1,Sculler,Finished,07:40.3
"Garc‹_a Reyes, J.",ELI.1x,6/15/2013,8:35 AM,Heats,Heat 2,London RC,London RC,3,1,Sculler,Finished,07:47.9
"Neill, A.",ELI.1x,6/15/2013,8:35 AM,Heats,Heat 2,Brentwood College Sch,Brentwood College Sch,4,1,Sculler,Finished,08:03.0
"Bouska, B.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Molesey BC,Molesey BC,0,1,Bow,Scratch,
"Seaman, J.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Molesey BC,Molesey BC,0,2,2,Scratch,
"Biggs, D.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Molesey BC,Molesey BC,0,3,3,Scratch,
"Plowman, P.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Molesey BC,Molesey BC,0,4,Stroke,Scratch,
"Savage, P.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Tideway Scullers,Tideway Scullers,1,1,Bow,Finished,06:43.2
"Bruce, P.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Tideway Scullers,Tideway Scullers,1,2,2,Finished,06:43.2
"Ogunyoye, D.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Tideway Scullers,Tideway Scullers,1,3,3,Finished,06:43.2
"Woolley, J.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Tideway Scullers,Tideway Scullers,1,4,Stroke,Finished,06:43.2
"Mould, R.",IM2.4-,6/15/2013,8:40 AM,Heats,Heat 1,Broxbourne RC,Broxbourne RC,2,1,Bow,Finished,06:44.7
